Folder,File,Spots,Area,DMax,Dmin,Smax,Smin,Garbage
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well3_Object1.tif_projection.tif,100,1477233,6636.7715,121.6787,5139,173,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well4_Object1.tif_projection.tif,2,8637026,4920.2354,122.1499,1570,114,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well4_Object0.tif_projection.tif,32,7955518,1778.3351,108.0302,2013,120,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well1_Object1.tif_projection.tif,21,12728246,2237.1467,114.25,2134,120,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate006_Well2_Object2.tif_projection.tif,3,1004668,3029.0132,117.2092,3831,170,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well2_Object2.tif_projection.tif,1,6926651,1017.5004,123.6845,2134,142,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well2_Object5.tif_projection.tif,1,12239738,1244.0577,127.2052,2274,136,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well3_Object0.tif_projection.tif,1,20709898,1252.5435,113.6061,2038,136,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well2_Object0.tif_projection.tif,434,1403722,11864.0205,124.0344,2351,200,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well4_Object4.tif_projection.tif,148,5390402,3140.875,114.9536,2060,153,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well2_Object3.tif_projection.tif,17,1668048,4341.1494,134.6502,2599,164,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well4_Object3.tif_projection.tif,565,1265553,10603.1816,113.0687,2669,124,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well4_Object3.tif_projection.tif,1,8865761,779.1727,118.998,1832,148,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well1_Object3.tif_projection.tif,7,5911986,1643.5923,124.8279,2501,149,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well4_Object2.tif_projection.tif,176,1893768,9936.7061,124.3924,4581,171,
