,date,state,Population,Per100kDeath,Per100kTests,Per100kDeathCumulative,Per100kTestsCumulative,Date,DateTime
2614,20200404,OH,11536504.0,0.09534950969548488,30.3038078086741,0.8841499989944962,362.9435745872406,404,2020-04-04
2608,20200404,NE,1826341.0,0.0,33.56437817472203,0.3285257243855337,294.52331191163097,404,2020-04-04
2602,20200404,MO,5988927.0,0.08348740934728376,57.35585022158393,0.40073956486696194,415.8507859588203,404,2020-04-04
2601,20200404,MN,5303925.0,0.03770792384884779,22.549338461610976,0.45249508618617346,479.3242740046286,404,2020-04-04
2600,20200404,MI,9883640.0,0.6171815242157748,49.35428647745162,5.463574148795383,544.3338688985029,404,2020-04-04
2594,20200404,KS,2853118.0,0.14019749621291513,17.664884522827307,0.7360368551178045,265.6041565753677,404,2020-04-04
2593,20200404,IN,6483802.0,0.21592269473990724,30.306292511708406,1.7890737564163743,305.3763825607259,404,2020-04-04
2592,20200404,IL,12830632.0,0.25719699544028696,43.12336290215478,1.8939051482421132,417.60218826321255,404,2020-04-04
2590,20200404,IA,3046355.0,0.09847834543249227,25.83415261845714,0.45956561201829726,336.1394190762403,404,2020-04-04
2558,20200405,OH,11536504.0,0.14735833316574934,16.33943870690809,1.0315083321602454,379.28301329414876,405,2020-04-05
2552,20200405,NE,1826341.0,0.1095085747951779,29.676823769493208,0.4380342991807116,324.20013568112415,405,2020-04-05
2546,20200405,MO,5988927.0,0.1669748186945675,39.13889750200662,0.5677143835615295,454.989683460827,405,2020-04-05
2545,20200405,MN,5303925.0,0.09426980962211946,25.52826444566995,0.5467648958082929,504.8525384502986,405,2020-04-05
2544,20200405,MI,9883640.0,0.7790652026986009,41.46245715141385,6.242639351493985,585.7963260499168,405,2020-04-05
2538,20200405,KS,2853118.0,0.035049374053228784,22.606846264332564,0.7710862291710333,288.2110028397003,405,2020-04-05
2537,20200405,IN,6483802.0,0.16965354586706996,43.98653752844396,1.958727302283444,349.3629200891699,405,2020-04-05
2536,20200405,IL,12830632.0,0.24160929874693624,42.102368768740305,2.1355144469890495,459.70455703195285,405,2020-04-05
2534,20200405,IA,3046355.0,0.26260892115331275,19.72849520164262,0.7221745331716101,355.8679142778829,405,2020-04-05
2502,20200406,OH,11536504.0,0.19936715663601381,40.064130346593736,1.2308754887962592,419.3471436407425,406,2020-04-06
2496,20200406,NE,1826341.0,0.0,47.41721288631203,0.4380342991807116,371.6173485674362,406,2020-04-06
2490,20200406,MO,5988927.0,0.08348740934728376,43.17968811441516,0.6512017929088132,498.16937157524217,406,2020-04-06
2489,20200406,MN,5303925.0,0.018853961924423894,25.47170255989668,0.5656188577327168,530.3242410101954,406,2020-04-06
2488,20200406,MI,9883640.0,1.1129502895694299,41.19939617387926,7.355589641063414,626.9957222237961,406,2020-04-06
2482,20200406,KS,2853118.0,0.10514812215968634,30.177511059829982,0.8762343513307196,318.38851389953027,406,2020-04-06
2481,20200406,IN,6483802.0,0.18507659549134906,54.58217262032369,2.1438038977747933,403.9450927094936,406,2020-04-06
