dapi_int,red_int,green_int
96.25,2695.7708,905.354
371.5,2697.5483,111.96138
36,2697.7915,332.46606
49,2698.7778,379.25485
1247.5,2702.485,354.5148
597.5,2711.4043,112.58003
0,2712.0015,973.89246
149.5,2712.4229,127.419174
23.75,2712.423,326.44302
219.25,2716.656,249.32144
360,2716.7695,102.33601
414,2718.542,284.16724
396.75,2721.392,134.36734
696.75,2721.4573,1816.3217
192.25,2723.6223,956.4019
448.75,2725.0068,210.92032
72.25,2731.4167,402.73187
72,2735.1104,175.1263
494.25,2735.1482,239.32904
13.25,2736.146,162.89133
694.25,2737.809,552.6813
39.75,2742.5613,119.789375
403,2744.1636,422.2129
187.25,2744.6045,820.9668
801.25,2746.4841,194.0302
1141.25,2751.1409,404.41168
329.5,2753.5786,963.717
174.25,2758.8801,233.22075
5.75,2759.592,162.98973
189,2762.5251,314.3565
307.5,2763.709,205.8364
118.25,2765.1943,443.77496
290.5,2768.207,252.3432
9.5,2769.8,149.71582
41.5,2771.56,263.0133
24.5,2773.6316,106.06318
346.5,2775.9438,433.6141
828.5,2780.3667,2053.6235
255.5,2782.8867,1617.2742
2,2785.6665,574.6626
304.25,2787.5056,68.304695
702,2788.5027,990.04047
957.75,2789.2395,192.19151
320.75,2792.238,1639.5277
33.75,2795.4397,49.9386
720,2800.1287,92.230255
340.25,2801.507,1079.9536
198.75,2805.1526,347.1426
708.75,2806.9731,74.81819
298.25,2807.3,120.64877
180.25,2807.492,119.71806
65.25,2808.6719,209.63077
203.5,2812.7615,65.737915
105.25,2813.7524,142.7224
310.25,2814.123,109.63678
11,2814.498,1867.3596
47.75,2815.8599,103.56995
65.75,2816.2043,123.21933
288,2818.2021,303.1201
458.25,2822.145,620.61
417.25,2822.4248,734.86816
158.25,2822.597,156.56046
371.75,2827.3186,146.60184
927.5,2829.4917,1746.8002
677.75,2830.0225,2150.968
539,2832.6516,405.3659
445.75,2837.3347,799.04126
115.75,2839.901,432.23486
528.25,2841.3743,544.6559
456.5,2848.0757,126.619545
104.25,2850.8496,597.0698
201.75,2853.187,142.14323
19.25,2856.4045,542.49536
243.5,2862.0005,296.3544
259.25,2862.2795,2173.2285
18.5,2866.912,51.48067
159,2868.003,96.74647
166.25,2868.7168,133.33124
197.75,2871.084,163.85245
479.25,2871.791,1301.2162
694.75,2874.3662,518.1229
35.5,2877.9734,119.415596
305.75,2883.1978,111.51909
202.75,2885.4077,152.92488
106.5,2886.8486,532.3418
18.25,2887.1042,173.81482
826,2891.2573,192.90408
32,2892.9417,194.86284
127.75,2895.526,143.338
224.5,2898.7102,174.04721
621.75,2900.3618,495.8877
49.5,2901.86,77.098946
63.25,2902.5823,98.536026
302.25,2905.2073,1589.1946
50.5,2905.261,141.10341
274.5,2909.1777,1636.5713
149.75,2912.9229,910.2195
194.75,2915.2969,87.05854
17.25,2915.7473,237.8546
34,2916.5142,1915.464
192.75,2929.4102,139.04164
320.75,2929.8438,219.49976
21.25,2931.977,113.017624
136.75,2933.0837,141.83981
654.75,2941.0334,115.43832
345.75,2941.6858,245.04057
191.25,2943.4326,146.29295
671,2944.7769,562.671
922.75,2947.6611,112.00053
9.25,2957.4194,531.58765
564.5,2959.7961,140.029
34.75,2964.2246,175.51268
118,2966.8132,730.49475
711,2967.0369,148.42612
413.5,2968.884,112.66633
226,2969.7932,756.8793
230,2970.676,78.95574
171.5,2971.3677,118.74085
89.75,2974,105.284836
112.25,2975.1355,639.9864
256.25,2980.4795,263.20337
568.5,2985.0095,224.80972
370.5,2985.8208,1091.0419
207.25,2989.4055,130.50462
18.75,2991.5146,416.14206
503.75,2991.7175,2237.9722
258.25,2991.8867,602.12415
226,2992.619,221.3391
263.25,3000.0198,218.01791
14,3005.1743,151.95737
469.25,3005.4539,330.7668
225.25,3010.1655,132.2733
625,3010.217,404.1703
1194,3012.3037,201.66573
96.75,3012.726,143.10034
325.25,3012.8484,276.07205
329.5,3013.0461,52.301075
245,3016.7217,127.68639
439.75,3018.1313,120.08693
368,3019.5198,505.22882
531.75,3024.8394,245.32599
444.5,3027.1077,869.9906
201.25,3028.4773,40.178394
461,3029.213,82.31262
596.75,3032.1428,1254.7738
332.25,3032.1726,124.95627
183,3035.2815,331.2041
334,3041.3755,56.294674
713,3041.4705,219.77611
59.25,3045.0344,288.42432
3.75,3053.2632,69.92664
282.25,3053.6833,150.5824
200,3053.6855,166.7862
70.5,3055.6606,61.72915
698.75,3065.8213,297.22284
30,3071.6877,66.86433
140.25,3073.8289,511.3733
385,3075.2402,751.6484
483.5,3075.5713,443.36874
242,3077.207,108.761
143.25,3078.6335,323.0472
323.25,3080.6553,427.4111
350,3081.8254,627.15295
730.75,3082.7468,411.30206
43.25,3083.3147,361.19675
51.25,3084.865,901.4814
603.5,3088.6301,438.70764
290.25,3093.3538,78.0534
271.5,3095.295,180.66777
381.5,3097.2915,2177.368
357.5,3098.0317,117.57574
103.25,3098.245,971.9602
356.75,3098.3994,377.77875
70.5,3099.379,141.26501
410.25,3101.1023,265.542
475,3103.349,987.7306
2.75,3104.3147,150.70605
746.75,3108.3093,1070.57
266.75,3114.232,175.9522
164.25,3122.7073,756.21094
370,3123.0657,233.51076
497.75,3124.7244,863.21906
509,3125.2207,1227.3677
479.25,3126.4177,477.21286
11,3128.317,982.4077
335.25,3129.426,518.7089
553.25,3129.7908,485.4895
638.25,3139.0156,629.7171
1026,3141.3477,123.92985
1132.25,3143.9988,583.42236
585.25,3144.3608,-50.57524
406.75,3151.325,157.31097
145.75,3159.1309,244.70781
158.25,3160.0798,85.29252
155.25,3161.402,193.18279
36.5,3165.6938,493.72192
98.25,3174.7844,70.72541
437,3174.8496,158.55817
267.75,3177.9536,570.26794
86.75,3179.053,1519.0763
11.5,3180.6177,195.93697
31.75,3180.8918,165.57245
63.5,3183.3315,86.98596
328,3185.683,114.99679
203.25,3187.8772,168.7456
1441.25,3188.4365,499.83783
115.75,3193.7786,1152.36
480,3202.274,141.30621
1092.25,3205.1938,199.35909
72.25,3207.2112,327.55527
277.5,3209.32,151.12239
1241.75,3209.829,185.38606
531.75,3214.3374,714.30884
194.75,3216.8303,164.94333
777.25,3225.4116,675.0875
94.75,3235.6245,1492.9119
714.25,3235.886,592.2351
357.5,3237.2498,190.54549
42.75,3237.7812,684.92035
301.25,3249.7903,155.60646
214.75,3250.4363,468.0676
806.5,3250.7336,342.03763
64,3257.3865,268.00064
83.25,3257.8835,118.2142
6,3258.5747,175.25499
147.75,3258.7058,238.4564
86.25,3259.442,201.4842
84.5,3260.892,74.07005
546.5,3261.54,94.46394
148.75,3263.896,161.70107
332.75,3265.345,240.68143
214.25,3267.6904,136.74883
20.25,3269.6604,130.3722
351.75,3274.041,196.81705
573.5,3275.3906,162.7646
336.25,3276.2212,141.10677
170,3279.2659,616.4493
572.5,3281.8933,504.16833
101.75,3289.882,141.91785
420.25,3295.1511,340.15552
906.75,3304.955,107.04125
54,3307.5125,525.3298
482,3308.1814,536.16504
1212.25,3316.632,172.1641
205,3323.6775,93.63121
114.25,3324.34,88.98841
232.5,3338.8396,566.31744
139.75,3341.0679,179.00269
84.75,3347.6482,148.73512
199.5,3348.2073,89.84024
424.25,3348.2114,1568.4159
426.5,3350.1936,-169.55728
168.5,3351.165,102.0059
155.25,3356.0361,448.9563
9,3357.194,256.9865
108.75,3358.6443,89.144905
0,3361.1074,287.5487
347.25,3368.326,263.58347
500.25,3371.3757,221.09244
80,3376.8042,883.7662
453.25,3382.0325,434.3405
849.5,3383.5413,1896.6516
533,3394.2583,124.47492
971.5,3401.1213,1901.6108
675.75,3401.1252,371.79276
5.75,3405.0022,277.3756
352,3407.6946,954.23645
115.5,3413.2727,88.79462
169.75,3419.2026,417.37582
37,3420.283,116.45778
493.5,3429.3877,927.9555
124.5,3435.9104,256.7709
233.5,3437.8167,868.4058
220.75,3441.0195,894.5158
439.75,3441.3538,1036.7133
330.5,3446.1667,84.28494
311.5,3448.447,1211.8959
1.25,3452.2217,59.97938
337.5,3453.2205,61.45574
253,3455.748,263.17712
277.25,3457.1934,63.390205
84.25,3459.9658,159.0266
161,3460.7786,140.2131
505.75,3466.085,70.43281
137,3466.0857,119.374535
117.5,3467.5918,84.49789
11.75,3469.715,824.5663
146.25,3470.2349,1058.2147
583.25,3471.0173,144.2779
686.25,3477.7397,813.15497
573.25,3479.9314,786.35425
122.5,3485.9182,76.414185
647.25,3493.1392,375.4745
374.5,3501.2705,750.7531
742.5,3502.2483,525.74097
80.25,3502.2996,165.49304
1,3502.55,211.92041
87.25,3506.9912,192.9347
748.75,3511.172,97.16737
450.75,3512.783,1690.6086
185.5,3513.9954,105.72092
199.25,3516.805,560.55347
265,3519.6526,535.6928
160,3522.1282,1073.6736
110.5,3522.7112,321.56143
104.5,3525.6995,2728.0706
132,3529.424,123.24068
62.5,3534.4385,126.577515
2037.75,3536.349,114.440544
359.5,3540.51,157.76213
992,3544.1633,588.6506
981,3548.298,1695.2428
445.5,3548.5432,-53.406292
18.75,3548.9583,66.68096
17,3555.7632,688.66907
397.75,3556.2424,1067.8987
237,3563.6643,909.3025
85.75,3563.9788,142.70131
64.25,3564.4226,565.1103
686.5,3578.299,352.05804
556,3584.118,590.0044
243.5,3587.9216,109.66976
1610,3589.167,521.7591
555.25,3589.2495,415.79364
586.25,3589.7737,304.268
458.75,3591.9458,179.4855
631.5,3593.7676,1513.9526
12.5,3599.2893,215.66968
265.25,3601.173,170.06966
76.75,3602.3003,372.06332
113.25,3602.6338,1190.8848
272.5,3608.0588,242.83543
300.75,3615.3901,1661.3268
760.25,3616.652,164.43648
622,3621.728,2537.5613
1024.75,3624.8728,810.6269
821.25,3636.2957,2729.3904
1000,3639.0134,100.5882
633.75,3648.9604,104.19028
951.25,3650.7405,234.43166
574,3655.5884,141.52469
1412.5,3656.391,457.229
226.75,3657.9722,96.43128
26.25,3673.5552,1641.4418
94.75,3677.9568,215.47098
90.5,3684.8396,268.68985
303.75,3689.4043,261.93494
254.5,3689.8572,162.34805
49.25,3694.7925,96.18135
433,3695.037,647.18506
