,date,state,Population,Per100kDeath,Per100kTests,Per100kDeathCumulative,Per100kTestsCumulative,Date,DateTime
11921,20200305,CA,37253956.0,0.0,0.0,0.0,1.3824035224608093,305,2020-03-05
11920,20200305,AZ,6392017.0,0.0,0.015644514086868042,0.0,0.4693354226060413,305,2020-03-05
11919,20200306,WV,1852994.0,0.0,0.0,0.0,0.05396671548855528,306,2020-03-06
11918,20200306,WI,5686986.0,0.0,0.21100808055444484,0.0,0.5626882148118529,306,2020-03-06
11917,20200306,WA,6724540.0,0.08922543400738192,7.59903279629536,0.3866435473653217,24.789799748384276,306,2020-03-06
11916,20200306,VT,625741.0,0.0,0.0,0.0,0.0,306,2020-03-06
11915,20200306,VA,8001024.0,0.0,0.024996800409547576,0.0,80.6771733218148,306,2020-03-06
11914,20200306,TX,25145561.0,0.0,0.01590738023303596,0.0,0.019884225291294952,306,2020-03-06
11913,20200306,TN,6346105.0,0.0,0.0,0.0,0.0157576970440924,306,2020-03-06
11912,20200306,SC,4625364.0,0.0,0.0,0.0,0.10809960037739733,306,2020-03-06
11911,20200306,RI,1052567.0,0.0,0.3800233144303403,0.0,2.1851340579744565,306,2020-03-06
11910,20200306,PA,12702379.0,0.0,0.0,0.0,0.01574508208265554,306,2020-03-06
11909,20200306,OR,3831074.0,0.0,0.49594447927656843,0.0,1.7488568479752675,306,2020-03-06
11908,20200306,OH,11536504.0,0.0,0.008668137245044078,0.0,0.06934509796035263,306,2020-03-06
11907,20200306,NY,19378102.0,0.0,0.13933253112198501,0.0,0.6450580144536343,306,2020-03-06
11906,20200306,NV,2700551.0,0.0,0.07405896056027085,0.0,0.6295011647623022,306,2020-03-06
11905,20200306,NM,2059179.0,0.0,0.0,0.0,0.7770087010405603,306,2020-03-06
11904,20200306,NJ,8791894.0,0.0,0.0,0.0,0.011374113473160618,306,2020-03-06
11903,20200306,NH,1316470.0,0.0,2.126899967336893,0.0,2.8105463854094666,306,2020-03-06
11902,20200306,NE,1826341.0,0.0,0.0,0.0,0.9308228857590122,306,2020-03-06
11901,20200306,NC,9535483.0,0.0,0.010487145748149308,0.0,0.020974291496298616,306,2020-03-06
11900,20200306,MN,5303925.0,0.0,0.0,0.0,0.6975965912036841,306,2020-03-06
11899,20200306,MI,9883640.0,0.0,0.40470919620706547,0.0,1.497424025966142,306,2020-03-06
11898,20200306,MD,5773552.0,0.0,0.20784432183169044,0.0,0.5022904444265852,306,2020-03-06
11897,20200306,MA,6547629.0,0.0,0.7483624988526382,0.0,2.3061783127907827,306,2020-03-06
11896,20200306,KY,4339367.0,0.0,0.0,0.0,0.16131385061461728,306,2020-03-06
11895,20200306,KS,2853118.0,0.0,0.0,0.0,0.14019749621291513,306,2020-03-06
11894,20200306,IN,6483802.0,0.0,0.0,0.0,0.015423049624279088,306,2020-03-06
11893,20200306,IL,12830632.0,0.0,0.11690772520013044,0.0,1.441861944134942,306,2020-03-06
11892,20200306,IA,3046355.0,0.0,0.0,0.0,0.4923917271624614,306,2020-03-06
11891,20200306,GA,9687653.0,0.0,0.0,0.0,0.020644835235118352,306,2020-03-06
11890,20200306,FL,18801310.0,0.0,0.1276506796600875,0.0,0.34040181242690004,306,2020-03-06
11889,20200306,DE,897934.0,0.0,0.0,0.0,1.1136675969503327,306,2020-03-06
11888,20200306,DC,601723.0,0.0,0.33237885206315865,0.0,1.3295154082526346,306,2020-03-06
11887,20200306,CO,5029196.0,0.0,0.0,0.0,0.0,306,2020-03-06
11886,20200306,CA,37253956.0,0.0,0.018789950790729447,0.0,1.4011934732515388,306,2020-03-06
11885,20200306,AZ,6392017.0,0.0,0.09386708452120825,0.0,0.5632025071272495,306,2020-03-06
11884,20200306,AR,2915918.0,0.0,0.0,0.0,0.20576710319014457,306,2020-03-06
11883,20200306,AK,710231.0,0.0,0.0,0.0,1.1263940886838226,306,2020-03-06
11882,20200307,WY,563626.0,0.0,0.0,0.0,0.0,307,2020-03-07
11881,20200307,WV,1852994.0,0.0,0.05396671548855528,0.0,0.10793343097711056,307,2020-03-07
